               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss, train/cls_task_loss,train/constraint_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,   val/cls_task_loss, val/constraint_loss,               x/lr0,               x/lr1,               x/lr2
                  88,            0.041158,            0.012191,             0.01407,             0.20472,                   0,             0.42481,             0.11068,             0.12098,            0.029497,             0.05477,            0.011087,            0.016644,              0.2207,                   0,             0.00739,             0.00739,             0.00739
                  89,            0.041026,            0.012053,            0.014008,             0.19195,                   0,             0.11498,             0.12359,             0.14738,            0.038192,            0.054864,            0.011126,            0.017255,             0.21912,                   0,             0.00736,             0.00736,             0.00736
                  90,            0.041301,            0.012024,            0.014204,             0.18893,                   0,             0.33617,             0.12311,             0.13757,            0.033283,            0.053179,             0.01124,            0.017206,             0.21582,                   0,             0.00733,             0.00733,             0.00733
                  91,            0.039657,            0.011995,            0.014095,             0.18908,                   0,             0.53453,             0.11215,              0.2001,            0.055004,             0.05373,            0.011142,            0.017102,             0.21008,                   0,              0.0073,              0.0073,              0.0073
                  92,            0.040713,            0.011955,            0.014053,             0.17077,                   0,             0.23619,             0.20704,             0.18853,            0.054186,            0.055059,            0.011082,            0.016949,              0.2041,                   0,             0.00727,             0.00727,             0.00727
                  93,            0.039251,            0.011897,            0.013855,              0.1752,                   0,             0.21373,              0.2296,              0.1647,            0.042215,            0.053207,             0.01106,            0.016504,             0.20032,                   0,             0.00724,             0.00724,             0.00724
                  94,            0.039752,            0.011903,            0.013893,             0.16603,                   0,             0.33741,             0.13749,              0.1516,            0.036335,            0.052903,            0.011217,            0.016748,             0.19922,                   0,             0.00721,             0.00721,             0.00721
                  95,            0.038415,            0.011763,            0.013835,             0.17368,                   0,             0.34967,             0.10531,             0.14086,            0.034621,            0.053183,            0.011147,            0.016663,             0.20166,                   0,             0.00718,             0.00718,             0.00718
                  96,            0.039592,            0.011837,            0.014077,             0.17976,                   0,             0.65146,             0.11998,             0.15429,            0.042813,            0.054172,            0.011077,            0.017352,             0.20557,                   0,             0.00715,             0.00715,             0.00715
                  97,            0.039061,            0.011715,             0.01385,             0.15473,                   0,              0.6499,             0.13258,             0.15458,            0.048064,            0.057554,             0.01096,             0.01723,             0.19922,                   0,             0.00712,             0.00712,             0.00712
