               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss, train/cls_task_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,   val/cls_task_loss,               x/lr0,               x/lr1,               x/lr2
                  86,            0.022545,           0.0010243,           0.0013368,            0.013097,              0.5557,             0.53305,             0.53219,             0.18498,            0.030087,            0.001085,           0.0013591,             0.29419,             0.00745,             0.00745,             0.00745
                  87,            0.022975,           0.0010388,           0.0013375,            0.012333,             0.56633,             0.55748,             0.58489,             0.20528,             0.03204,           0.0010752,           0.0013756,             0.30347,             0.00742,             0.00742,             0.00742
                  88,            0.022258,           0.0010273,            0.001305,            0.015362,             0.57853,             0.55294,             0.57852,             0.22434,            0.030733,           0.0010738,           0.0013733,             0.30029,             0.00739,             0.00739,             0.00739
                  89,            0.022342,           0.0010095,           0.0013227,            0.018625,             0.58723,             0.60218,             0.60188,              0.2117,            0.032702,           0.0010529,           0.0013822,             0.30908,             0.00736,             0.00736,             0.00736
                  90,            0.022297,            0.001022,           0.0012764,            0.012965,             0.53635,             0.61335,               0.586,             0.20279,            0.032721,           0.0010487,           0.0014101,             0.32031,             0.00733,             0.00733,             0.00733
                  91,            0.022352,           0.0010223,           0.0013574,            0.011017,              0.5838,             0.60074,             0.59218,             0.20109,            0.031505,           0.0010501,           0.0013969,             0.31421,              0.0073,              0.0073,              0.0073
                  92,            0.022195,           0.0010105,           0.0013368,            0.013803,             0.57707,             0.58032,             0.59997,             0.19697,            0.030849,           0.0010591,           0.0013943,             0.30713,             0.00727,             0.00727,             0.00727
                  93,            0.022346,          0.00099783,            0.001258,            0.012146,             0.53908,             0.57329,             0.57165,             0.21038,             0.03079,           0.0010653,           0.0013653,             0.30103,             0.00724,             0.00724,             0.00724
                  94,            0.022374,          0.00099512,           0.0012212,             0.01148,             0.54442,             0.59765,             0.56876,             0.21426,            0.032031,           0.0010574,            0.001333,             0.29956,             0.00721,             0.00721,             0.00721
                  95,            0.022301,           0.0010008,           0.0012387,            0.011503,             0.53162,             0.62673,             0.57073,              0.2118,            0.032851,           0.0010659,           0.0012936,             0.30054,             0.00718,             0.00718,             0.00718
                  96,            0.022451,          0.00097257,           0.0011958,           0.0089119,             0.49484,             0.59878,             0.54689,             0.19349,            0.032494,           0.0010636,           0.0012639,              0.3208,             0.00715,             0.00715,             0.00715
                  97,             0.02191,          0.00098508,           0.0011737,           0.0098435,             0.51178,             0.59743,             0.56882,             0.19449,            0.033735,           0.0010574,           0.0012499,             0.32837,             0.00712,             0.00712,             0.00712
                  98,            0.021862,          0.00099735,           0.0011598,            0.013741,             0.51482,              0.5705,             0.54321,             0.19246,            0.030678,           0.0010642,           0.0012353,               0.323,             0.00709,             0.00709,             0.00709
                  99,            0.021674,            0.000974,           0.0011502,           0.0087308,              0.5192,             0.56564,             0.58554,             0.20318,            0.033677,           0.0010406,           0.0012401,             0.33496,             0.00706,             0.00706,             0.00706
                 100,            0.022481,          0.00097635,            0.001168,            0.012599,             0.50958,              0.5727,             0.55171,             0.19375,            0.029641,            0.001078,           0.0012298,             0.32422,             0.00703,             0.00703,             0.00703
                 101,            0.021962,          0.00097659,           0.0011945,            0.012097,             0.47835,             0.59762,             0.56761,             0.22213,            0.030869,           0.0010678,           0.0012325,             0.31592,               0.007,               0.007,               0.007
                 102,            0.022084,          0.00099426,            0.001184,           0.0086167,             0.52174,             0.60105,             0.57915,             0.22329,            0.031351,           0.0010481,           0.0012323,             0.32812,             0.00697,             0.00697,             0.00697
