                  epoch,             train/loss,              test/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,                   lr/0
                    287,                0.34412,                0.36641,                0.97386,                      1,               4.96e-05
                    288,                0.34036,                0.36802,                0.97386,                      1,               4.63e-05
                    289,                0.33896,                0.36871,                0.97386,                      1,                4.3e-05
                    290,                0.34373,                0.37039,                0.97386,                      1,               3.97e-05
                    291,                0.34462,                0.37176,                0.97386,                      1,               3.64e-05
                    292,                0.33365,                0.36683,                0.97386,                      1,               3.31e-05
                    293,                0.33585,                0.36729,                0.97386,                      1,               2.98e-05
                    294,                0.33211,                0.37313,                0.97059,                      1,               2.65e-05
                    295,                0.34778,                0.36996,                0.97059,                      1,               2.32e-05
                    296,                0.33558,                0.36817,                0.97059,                      1,               1.99e-05
                    297,                0.33754,                0.36816,                0.97059,                      1,               1.66e-05
                    298,                0.33945,                0.36639,                0.96732,                      1,               1.33e-05
                    299,                0.33633,                0.36998,                0.96732,                      1,                  1e-05
