               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss, train/cls_task_loss,train/constraint_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,   val/cls_task_loss, val/constraint_loss,               x/lr0,               x/lr1,               x/lr2
                 104,            0.037021,            0.011536,            0.013808,             0.15434,                   0,            0.096966,            0.045928,            0.084695,            0.019333,            0.053939,            0.010715,            0.015466,             0.16553,                   0,             0.00691,             0.00691,             0.00691
                 105,            0.035965,            0.011347,            0.013445,             0.14471,                   0,            0.088402,            0.078719,            0.093093,             0.02401,            0.052001,            0.010895,            0.015561,             0.17053,                   0,             0.00688,             0.00688,             0.00688
                 106,            0.037112,            0.011443,            0.013609,             0.13853,                   0,             0.33758,             0.15987,             0.18677,            0.041795,            0.053282,            0.010811,            0.015384,             0.18005,                   0,             0.00685,             0.00685,             0.00685
                 107,            0.036709,            0.011329,            0.013659,             0.14313,                   0,             0.18725,             0.11919,             0.13087,            0.029582,            0.051078,            0.010731,            0.015878,             0.17908,                   0,             0.00682,             0.00682,             0.00682
                 108,            0.037175,            0.011368,            0.013746,             0.12614,                   0,             0.25487,              0.1302,             0.16606,            0.039178,            0.050721,            0.010716,            0.015521,             0.15564,                   0,             0.00679,             0.00679,             0.00679
                 109,            0.038175,            0.011256,            0.013404,             0.12418,                   0,             0.43326,             0.17994,             0.19533,            0.045195,            0.051111,            0.010781,            0.015472,             0.17932,                   0,             0.00676,             0.00676,             0.00676
                 110,             0.03574,            0.011172,            0.013426,              0.1275,                   0,             0.41364,            0.040791,             0.12628,            0.032334,            0.053607,            0.010794,            0.015924,             0.16089,                   0,             0.00673,             0.00673,             0.00673
                 111,            0.036602,            0.011203,            0.013595,             0.13324,                   0,             0.18558,             0.17102,             0.12662,            0.032788,            0.050382,            0.010726,            0.015561,             0.16187,                   0,              0.0067,              0.0067,              0.0067
                 112,            0.035877,            0.011108,            0.013495,             0.12568,                   0,             0.22856,             0.17712,             0.15642,            0.043881,            0.051684,            0.010834,            0.015875,             0.17468,                   0,             0.00667,             0.00667,             0.00667
                 113,            0.035523,            0.011091,            0.013473,             0.11231,                   0,             0.27849,             0.28153,             0.24522,            0.062581,              0.0504,            0.010866,            0.015543,             0.16016,                   0,             0.00664,             0.00664,             0.00664
